name,movie,bday,award,dead,desc,year
Marcia Gay Harden,Pollock,8/14/59,41,3/14/18,"(58Œæyears, 212Œædays)",2001
Jennifer Connelly,Beautiful Mind,12/12/70,31,3/14/18,"(47Œæyears, 92Œædays)",2002
Catherine Zeta-Jones,Chicago,9/25/69,33,3/14/18,"(48Œæyears, 170Œædays)",2003
Rení©e Zellweger,Cold Mountain,4/25/69,34,3/14/18,"(48Œæyears, 323Œædays)",2004
Cate Blanchett,Aviator,5/14/69,35,3/14/18,"(48Œæyears, 304Œædays)",2005
Rachel Weisz,Constant Gardener,3/7/70,35,3/14/18,"(48Œæyears, 7Œædays)",2006
Jennifer Hudson,Dreamgirls,9/12/81,25,3/14/18,"(36Œæyears, 183Œædays)",2007
Tilda Swinton,Michael Clayton,11/5/60,47,3/14/18,"(57Œæyears, 129Œædays)",2008
Pení©lope Cruz,Vicky Cristina Barcelona,4/28/74,34,3/14/18,"(43Œæyears, 320Œædays)",2009
Mo'Nique,Precious,12/11/67,42,3/14/18,"(50Œæyears, 93Œædays)",2010
Melissa Leo,Fighter,9/14/60,50,3/14/18,"(57Œæyears, 181Œædays)",2011
Octavia Spencer,Help,5/25/70,41,3/14/18,"(45Œæyears, 293Œædays)",2012
Anne Hathaway,Les Misí©rables,11/12/82,30,3/14/18,"(35Œæyears, 122Œædays)",2013
Lupita Nyong'o,Twelve Years a Slave,3/1/83,31,3/14/18,"(35Œæyears, 13Œædays)",2014
Patricia Arquette,Boyhood,4/8/68,46,3/14/18,"(49Œæyears, 340Œædays)",2015
Alicia Vikander,The Danish Girl,10/3/88,27,3/14/18,"(29Œæyears, 162Œædays)",2016
Viola Davis,Fences,8/11/65,51,3/14/18,"(52Œæyears, 215Œædays)",2017
Allison Janney,"I, Tonya",11/19/59,58,3/14/18,"(58Œæyears, 115Œædays)",2018
