county,date,snowfall,kk
Barnstable,4-Jan,0,4
Berkshire,4-Jan,0,4
Bristol,4-Jan,0,4
Dukes,4-Jan,0,4
Essex,4-Jan,14,4
Franklin,4-Jan,0,4
Hampden,4-Jan,0.2,4
Hampshire,4-Jan,0.1,4
Middlesex,4-Jan,0,4
Nantucket,4-Jan,0,4
Norfolk,4-Jan,2,4
Plymouth,4-Jan,14,4
Sorfolk,4-Jan,13,4
Worcester,4-Jan,16.8,4
