id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,xaxis,yaxis,n,own,coli
1584340,Spacious Beacon Hill Apartment,8441226,Justin,,Beacon Hill,42.35879743,-71.06760785,Entire home/apt,175,3,0,,,1,0,75,3,1,0,1
1584362,Grace's Harborview Fast T Downtown,6608084,CarneyFamily,,Dorchester,42.31050176,-71.04811586,Private room,63,1,469,9/10/18,7.77,7,225,76,3,7,0,1
1587540,Cozy House on Bunker Hill in Boston,2004732,Finola,,Charlestown,42.37889813,-71.06118226,Entire home/apt,299,2,35,7/15/18,0.66,1,10,77,3,1,0,1
1589392,Totally Amazing XL Studio w Skyline,4195134,Gift From God Properties,,Back Bay,42.35441479,-71.07794303,Entire home/apt,110,30,4,6/9/18,0.14,9,365,78,3,9,0,1
1596470,3-story Luxury in Central Location,480310,Michael,,Downtown,42.35049371,-71.06986261,Entire home/apt,450,2,118,9/5/18,1.95,1,121,79,3,1,0,1
1596664,Top of Fort Hill / Private room in brick townhouse,8513158,Kevin,,Roxbury,42.32502098,-71.09478939,Private room,78,6,6,9/1/18,1.11,2,202,80,3,2,0,1
1602491,Urban Victorian-walk the city! Rm 2,3875741,Mekkin,,Roxbury,42.32701652,-71.08146902,Private room,70,2,28,9/28/16,0.47,6,0,1,4,6,0,1
1604168,Stylish South End One Bedroom Apartment,8546869,Elizabeth,,South End,42.33652823,-71.07388596,Entire home/apt,275,2,0,,,1,72,2,4,1,0,1
1615033,Ole North Church -1st in America,3637081,Jason Or Jose,,North End,42.36796047,-71.05572927,Entire home/apt,115,1,391,8/29/18,6.4,5,299,3,4,5,0,1
1628130,Rare! Perfect pondside location near everything,333220,Hylton,,Jamaica Plain,42.31171249,-71.11818369,Entire home/apt,650,2,1,7/23/16,0.04,1,0,4,4,1,0,1
1631942,Sweet penthouse in historic Boston,4147257,Jenn,,Jamaica Plain,42.31131397,-71.11617069,Entire home/apt,107,5,26,8/5/18,0.49,1,0,5,4,1,0,1
1638584,Fort Hill Bedroom w/ Work Station,5243773,Chad,,Roxbury,42.32513754,-71.09264112,Private room,79,1,7,8/16/18,0.12,2,0,6,4,2,0,1
1644031,Large Private bedroom by Seaport,8725557,Brooke,,South Boston Waterfront,42.34017314,-71.04762982,Private room,105,1,146,9/12/18,4.7,1,43,7,4,1,0,1
1658983,Freedom Trail Charlestown Studio! Walk Downtown!,8792144,Rachel,,Charlestown,42.37785542,-71.06279709,Entire home/apt,155,6,77,7/22/18,1.27,1,0,8,4,1,0,1
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.28194183,-71.1333719,Private room,53,1,28,8/19/18,0.47,2,349,9,4,2,0,1
1682936,Charming 2 level Apartment,8898973,Adriana & Gianni,,Roxbury,42.32370734,-71.09457956,Entire home/apt,150,2,135,8/19/18,2.44,2,326,10,4,2,0,1
1692573,Urban oasis trendy JP 'hood - suite,8814724,Kelly,,Jamaica Plain,42.31337883,-71.11718909,Entire home/apt,145,2,167,8/27/18,2.81,1,339,11,4,1,0,1
1695275,Fenway park in view! Boston Studio,324630,Sean,,Fenway,42.34772634,-71.09394752,Entire home/apt,99,1,468,8/18/18,7.76,3,22,12,4,3,0,1
1721016,Quiet Sunlit Attic Studio,7723912,Fj,,Roslindale,42.28606773,-71.1323625,Entire home/apt,105,7,7,8/5/17,0.14,2,352,13,4,2,0,1
1724900,Charming sunlit house in Boston,7723912,Fj,,Roslindale,42.28290546,-71.13267674,Entire home/apt,120,5,40,8/20/18,0.67,2,285,14,4,2,0,1
1732804,Private room in Boston,9090219,Thomas,,Dorchester,42.29040678,-71.05853479,Private room,70,1,98,9/9/18,1.63,1,356,15,4,1,0,1
1754939,"Gorgeous, spacious townhouse in Boston",9228417,Alice,,Jamaica Plain,42.31227026,-71.10086091,Entire home/apt,165,1,15,8/19/18,0.61,1,22,16,4,1,0,1
1757417,Queen in Arts & Crafts Bungalow,9241244,Keith (& Beth),,West Roxbury,42.27753725,-71.1434784,Private room,60,1,52,6/29/18,1.49,3,39,17,4,3,0,1
